image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000000776.jpg,P0_Neutral,P5_Urgent,0.16666666666666666,0.078125,0.5565618872642517
000000000776.jpg,P0_Neutral,P6_Leisure,0.16666666666666666,0.09836065573770492,0.7479336857795715
000000000776.jpg,P1_Chef,P2_Security,0.0,0.0,0.03867936506867409
000000000776.jpg,P1_Chef,P3_Child,0.0,0.0,0.045398447662591934
000000000776.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.04984601214528084
000000000776.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.022598398849368095
000000000776.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.018507903441786766
000000000776.jpg,P2_Security,P3_Child,0.08843537414965986,0.045871559633027525,0.5658345818519592
000000000776.jpg,P2_Security,P4_Mobility,0.09090909090909091,0.04504504504504504,0.6580619812011719
000000000776.jpg,P2_Security,P5_Urgent,0.1792452830188679,0.0875,0.5341733694076538
000000000776.jpg,P2_Security,P6_Leisure,0.12222222222222222,0.09352517985611511,0.6787275671958923
000000000776.jpg,P3_Child,P4_Mobility,0.10569105691056911,0.06521739130434782,0.45134595036506653
000000000776.jpg,P3_Child,P5_Urgent,0.08247422680412371,0.06153846153846154,0.4509641230106354
000000000776.jpg,P3_Child,P6_Leisure,0.13043478260869565,0.09836065573770492,0.6374550461769104
000000000776.jpg,P4_Mobility,P5_Urgent,0.08602150537634409,0.028985507246376812,0.4297589361667633
000000000776.jpg,P4_Mobility,P6_Leisure,0.1337579617834395,0.088,0.630269467830658
000000000776.jpg,P5_Urgent,P6_Leisure,0.08888888888888889,0.0594059405940594,0.6103152632713318
000000000785.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.043690070509910583
000000000785.jpg,P0_Neutral,P2_Security,0.13013698630136986,0.09523809523809523,0.7445335388183594
000000000785.jpg,P0_Neutral,P3_Child,0.144,0.0989010989010989,0.4446319341659546
000000000785.jpg,P0_Neutral,P4_Mobility,0.21428571428571427,0.1875,0.755976676940918
000000000785.jpg,P0_Neutral,P5_Urgent,0.10091743119266056,0.025974025974025976,0.6531767845153809
000000000785.jpg,P0_Neutral,P6_Leisure,0.042735042735042736,0.044444444444444446,0.4885624647140503
000000000785.jpg,P1_Chef,P2_Security,0.0,0.0,0.01553972065448761
000000000785.jpg,P1_Chef,P3_Child,0.0,0.0,0.04241570830345154
000000000785.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.02509772777557373
000000000785.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.010810690000653267
000000000785.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.06401888281106949
000000000785.jpg,P2_Security,P3_Child,0.10204081632653061,0.04716981132075472,0.3448760509490967
000000000785.jpg,P2_Security,P4_Mobility,0.13138686131386862,0.0707070707070707,0.6306923627853394
000000000785.jpg,P2_Security,P5_Urgent,0.13934426229508196,0.046511627906976744,0.620781421661377
000000000785.jpg,P2_Security,P6_Leisure,0.05223880597014925,0.019417475728155338,0.3807763457298279
000000000785.jpg,P3_Child,P4_Mobility,0.1565217391304348,0.12345679012345678,0.512294352054596
000000000785.jpg,P3_Child,P5_Urgent,0.11428571428571428,0.0273972602739726,0.40359318256378174
000000000785.jpg,P3_Child,P6_Leisure,0.07207207207207207,0.034482758620689655,0.5282483100891113
000000000785.jpg,P4_Mobility,P5_Urgent,0.13402061855670103,0.04477611940298507,0.7132837772369385
000000000785.jpg,P4_Mobility,P6_Leisure,0.05660377358490566,0.036585365853658534,0.5201242566108704
000000000785.jpg,P5_Urgent,P6_Leisure,0.09090909090909091,0.029850746268656716,0.4041774272918701
000000000802.jpg,P0_Neutral,P1_Chef,0.16556291390728478,0.14035087719298245,0.7304511070251465
000000000802.jpg,P0_Neutral,P2_Security,0.10526315789473684,0.05357142857142857,0.6151538491249084
000000000802.jpg,P0_Neutral,P3_Child,0.07534246575342465,0.046296296296296294,0.4048404097557068
000000000802.jpg,P0_Neutral,P4_Mobility,0.10144927536231885,0.061224489795918366,0.5942692160606384
000000000802.jpg,P0_Neutral,P5_Urgent,0.1092436974789916,0.07058823529411765,0.6496484279632568
000000000802.jpg,P0_Neutral,P6_Leisure,0.1503267973856209,0.13675213675213677,0.7702460885047913
000000000802.jpg,P1_Chef,P2_Security,0.12,0.061946902654867256,0.6169963479042053
000000000802.jpg,P1_Chef,P3_Child,0.0979020979020979,0.05504587155963303,0.4698680639266968
000000000802.jpg,P1_Chef,P4_Mobility,0.10948905109489052,0.0707070707070707,0.5961371064186096
000000000802.jpg,P1_Chef,P5_Urgent,0.1,0.06896551724137931,0.6481291055679321
000000000802.jpg,P1_Chef,P6_Leisure,0.13548387096774195,0.08870967741935484,0.6791964173316956
000000000802.jpg,P2_Security,P3_Child,0.08759124087591241,0.04040404040404041,0.3905206620693207
000000000802.jpg,P2_Security,P4_Mobility,0.17073170731707318,0.10588235294117647,0.7237223982810974
000000000802.jpg,P2_Security,P5_Urgent,0.1588785046728972,0.06578947368421052,0.5370455384254456
000000000802.jpg,P2_Security,P6_Leisure,0.15862068965517243,0.09821428571428571,0.5239000916481018
000000000802.jpg,P3_Child,P4_Mobility,0.05555555555555555,0.022988505747126436,0.3874512016773224
000000000802.jpg,P3_Child,P5_Urgent,0.0970873786407767,0.02702702702702703,0.3401428163051605
000000000802.jpg,P3_Child,P6_Leisure,0.0979020979020979,0.07272727272727272,0.3941460847854614
000000000802.jpg,P4_Mobility,P5_Urgent,0.10204081632653061,0.046875,0.540688157081604
000000000802.jpg,P4_Mobility,P6_Leisure,0.1259259259259259,0.05825242718446602,0.5732131004333496
000000000802.jpg,P5_Urgent,P6_Leisure,0.1282051282051282,0.09090909090909091,0.5571480393409729
000000000872.jpg,P0_Neutral,P1_Chef,0.0,0.0,0.0071100033819675446
000000000872.jpg,P0_Neutral,P2_Security,0.17117117117117117,0.14285714285714285,0.8608368635177612
000000000872.jpg,P0_Neutral,P4_Mobility,0.10091743119266056,0.024390243902439025,0.41577956080436707
000000000872.jpg,P0_Neutral,P6_Leisure,0.088,0.019801980198019802,0.3798435628414154
000000000872.jpg,P1_Chef,P2_Security,0.0,0.0,-0.007951680570840836
000000000872.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.06351664662361145
000000000872.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.031897127628326416
000000000872.jpg,P2_Security,P4_Mobility,0.10077519379844961,0.0196078431372549,0.43544021248817444
000000000872.jpg,P2_Security,P6_Leisure,0.12056737588652482,0.0603448275862069,0.40890029072761536
000000000872.jpg,P4_Mobility,P6_Leisure,0.15625,0.09900990099009901,0.5560409426689148
000000000885.jpg,P1_Chef,P2_Security,0.0,0.0,0.07240419834852219
000000000885.jpg,P1_Chef,P3_Child,0.0,0.0,0.061410557478666306
000000000885.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.02612527646124363
000000000885.jpg,P1_Chef,P5_Urgent,0.0,0.0,-0.029825426638126373
000000000885.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.09511748701334
000000000885.jpg,P2_Security,P3_Child,0.09271523178807947,0.03636363636363636,0.49502867460250854
000000000885.jpg,P2_Security,P4_Mobility,0.1015625,0.07608695652173914,0.5815538167953491
000000000885.jpg,P2_Security,P5_Urgent,0.1919191919191919,0.07894736842105263,0.7922975420951843
000000000885.jpg,P2_Security,P6_Leisure,0.10666666666666667,0.05785123966942149,0.6201003193855286
000000000885.jpg,P3_Child,P4_Mobility,0.06557377049180328,0.0375,0.32991525530815125
000000000885.jpg,P3_Child,P5_Urgent,0.12631578947368421,0.03125,0.5197442173957825
000000000885.jpg,P3_Child,P6_Leisure,0.0763888888888889,0.037037037037037035,0.4296970069408417
000000000885.jpg,P4_Mobility,P5_Urgent,0.09210526315789473,0.02,0.4773169755935669
000000000885.jpg,P4_Mobility,P6_Leisure,0.10084033613445378,0.07777777777777778,0.48799195885658264
000000000885.jpg,P5_Urgent,P6_Leisure,0.08,0.012658227848101266,0.5158585906028748
000000001000.jpg,P0_Neutral,P1_Chef,0.06369426751592357,0.025210084033613446,0.4815680980682373
000000001000.jpg,P0_Neutral,P2_Security,0.15942028985507245,0.12380952380952381,0.7307581901550293
000000001000.jpg,P0_Neutral,P3_Child,0.10273972602739725,0.05309734513274336,0.654518187046051
000000001000.jpg,P0_Neutral,P4_Mobility,0.12,0.08181818181818182,0.6625452041625977
000000001000.jpg,P0_Neutral,P5_Urgent,0.11728395061728394,0.056,0.6928591728210449
000000001000.jpg,P0_Neutral,P6_Leisure,0.08943089430894309,0.06315789473684211,0.784630298614502
000000001000.jpg,P1_Chef,P2_Security,0.11029411764705882,0.02040816326530612,0.355742484331131
000000001000.jpg,P1_Chef,P3_Child,0.07801418439716312,0.01,0.3218929171562195
000000001000.jpg,P1_Chef,P4_Mobility,0.09655172413793103,0.01,0.4103602468967438
